date,food,outfit,dwelling,health,beauty,remote,money,travel,kids,nonfood,telecom,fun,charity,misc
2020-04-19,5056641.830000031,237809.77000000002,678435.76,386833.04000000015,88239.49,38619.76000000001,11606920.07,975413.8999999992,119680.55,776702.8799999998,741434.3600000001,1328046.579999998,4702.679999999999,167842.20999999996
2020-04-20,4977266.490000052,516648.01,1181883.5799999998,579649.1699999997,134379.03999999998,22142.17,28525241.37000001,1417296.99,124257.77,943978.2599999997,717169.12,1352823.6999999974,2681.65,394829.74
2020-04-21,5185803.970000064,489482.58999999997,909492.7200000003,635512.1000000007,90957.29999999999,77946.13999999998,26419274.419999994,1828627.6999999976,150134.69999999998,1524059.7800000003,425024.02999999997,1177841.5200000005,5909.76,432374.67
2020-04-22,5201293.540000057,673523.3,1224421.7000000004,587875.2200000001,102439.47999999998,15151.57,25293539.920000013,1558660.6599999997,173128.59999999998,1081897.49,617640.0299999999,1294380.0699999984,3780.09,232645.49000000002
2020-04-23,5828704.520000035,974457.19,1287487.42,626949.5399999999,180362.82,11174.43,25467216.38000001,1641031.6400000001,252359.00999999998,1051272.5399999998,408211.5799999999,1078344.4999999993,1521.87,282697.5199999997
2020-04-24,6745535.710000061,202544.33000000002,1334053.9800000002,604575.1899999997,309131.01,59842.71,25939945.979999986,1495562.430000002,156344.77000000002,1090530.97,638908.36,1514420.8799999966,5258.79,316736.05999999994
2020-04-25,7051053.090000082,526501.8400000001,1225333.8699999999,607846.6800000002,89212.80000000002,20039.180000000004,17450489.17,1945556.8699999999,208444.69999999995,1035418.1700000005,680063.2,1416746.7899999968,4881.36,276194.93999999994
2020-04-26,5940104.200000092,141690.0,1101678.99,434721.19000000006,99290.41,17348.010000000002,13408830.619999997,1135851.32,160637.74,1142595.6299999994,444386.72,1053099.63,9904.55,380253.3299999999
2020-04-27,5229591.96000004,475847.65,1267521.8900000001,607321.7999999998,84544.65,28713.300000000003,24857276.069999993,1888198.5999999992,290719.7900000001,979979.0500000002,690536.0299999999,987143.6800000007,6833.0,313370.98000000004
2020-04-28,5411410.910000045,376907.34,1678516.5100000005,629825.3599999998,142715.42,18498.28,25365857.75,1664511.6799999995,167861.81999999995,1131320.54,528147.06,1021488.5300000001,6090.65,267910.57999999996
2020-04-29,5617045.63000007,858531.9800000001,1235662.8399999996,682784.0999999999,86826.09000000001,16426.719999999998,28498959.889999997,1445160.12,248066.71000000002,1292927.7200000002,982003.0300000003,1362440.6399999966,8689.0,355603.51000000007
2020-04-30,6846678.290000082,495514.67,1096413.1099999999,793893.1400000002,119733.94999999998,30607.05,38217282.14999999,2217928.75,240478.21,1365446.8499999992,652037.0000000001,1719301.0899999952,110841.31,672038.17
2020-05-01,6848030.500000047,541709.61,1112575.5500000003,546783.0700000001,88636.79,23030.00999999999,18532951.410000004,1602248.8599999999,258278.33999999994,1448634.9900000016,654606.28,1455693.4199999985,7136.369999999999,142443.94999999998
2020-05-02,5717452.700000074,484265.12,939669.2799999997,415576.38,66948.55,13839.970000000003,14295834.64,1310367.9999999998,173910.62,1047671.28,247184.21,1755463.6799999957,4395.0,274485.1899999999
